title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
"The Road",movie,"Drama, Thriller",2009,tt0898367,7.2,258739,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
Grapes,movie,Comedy,2008,tt1105753,6.5,891,"CZ, SK"
"The Handmaid's Tale",movie,"Drama, Romance, Sci-Fi",1990,tt0099731,6,11124,"BA, BG, CZ, HR, HU, MD, ME, MK, PL, RO, RS, SI, SK"
"Funny People",movie,"Comedy, Drama",2009,tt1201167,6.3,124544,"AG, AR, BB, BO, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"She Hate Me",movie,"Comedy, Drama",2004,tt0384533,5.3,8337,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"The Ugly Truth",movie,"Comedy, Romance",2009,tt1142988,6.4,233346,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Ocean Waves",movie,"Animation, Drama, Romance",1993,tt0108432,6.6,21222,"AG, BB, BS, HN, NI, TT, US"
"Tom and Jerry Blast Off to Mars!",movie,"Action, Adventure, Animation",2005,tt0433696,6,2554,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, UY, VE"
"Casi divas",movie,"Comedy, Fantasy, Musical",2008,tt1049948,6.1,787,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Buster's World",movie,"Comedy, Family",1984,tt0087013,7.1,1625,"DK, FI, NO, SE"
Naked,movie,"Comedy, Drama",1993,tt0107653,7.7,45116,"DK, FI, NO, SE"
"The Damned United",movie,"Biography, Drama, Sport",2009,tt1226271,7.5,46571,"BE, FR, MC, NL"
"Batman: Mystery of the Batwoman",movie,"Action, Animation, Crime",2003,tt0346578,6.6,14552,"AG, AR, BB, BO, BR, BS, BZ, CL, CO, CR, DO, EC, GT, GY, HN, JM, LC, MX, NI, PA, PE, PY, SV, TC, TT, UY, VE"
"Scooby-Doo and the Monster of Mexico",movie,"Adventure, Animation, Comedy",2003,tt0369903,6.3,5123,"AD, AG, AR, BA, BB, BE, BG, BO, BR, BS, BZ, CL, CO, CR, CZ, DK, DO, EC, ES, FI, FR, GT, GY, HN, HR, HU, JM, LC, MC, MD, ME, MK, MX, NI, NL, NO, PA, PE, PL, PT, PY, RO, RS, SE, SI, SK, SV, TC, TT, UY, VE"
